title,price
Головний бухгалтер (єдиний), 10000 грн*
Менеджер по продажам (Call-центр), 10000 грн*
Менеджер по продажам (материалы для производства мебели), 10000 грн*
Менеджер по продажам на онлайн-аукцион (с обучением), 10000 грн*
Менеджер по продажам, 10000 грн*
Юрист  помощник руководителя, 10000 грн*
Менеджер по продажам, 10000 грн*
Машинист мостового крана, 10000 грн*
Бетонщик  монолитчик, 10000 грн*
Швея  портной, 10000 грн*
Специалист по продажам, 10000 грн*
Администратор стола заказов автосервиса, 10000 грн*
Менеджер по продажам (IT-разработки  туризм), 10000 грн*
Столяр, 10000 грн*
Продавец-консультант бытовой и электронной техники, 10000 грн*
Официант, 10000 грн*
Водитель на автомобиль компании, 10000 грн*
Заместитель главного инженера, 10000 грн*
Торговый представитель (текстиль), 10000 грн*
HR  Office Manager, 10000 грн*
Специалист-монтажник кабельных сетей СКС (интернет-провайдер  ст. м. Теремки), 10000 грн*
Маркетолог  PR-менеджер (реклама AnatolShop), 10000 грн*
Мастер по заправке  ремонту автокондиционеров  помощник, 10000 грн*
Автослесарь, 10000 грн*
Начальник отдела продаж, 10000 грн*
Водитель в такси на автомобиль компании, 10000 грн*
Копирайтер, 10000 грн*
Менеджер по работе с клиентами, 10000 грн*
Водитель по доставке воды, 10000 грн*
Инженер ПТО  сметчик, 10000 грн*
Продавец-консультант  стилист мужского ассортимента одежды и аксессуаров, 10000 грн*
Продавец-консультант, 10000 грн*
Ассистент отдела продаж  бухгалтер (английский), 10000 грн*
Стропальщик, 10000 грн*
Финансист-экономист, 10000 грн*
Контент-менеджер (интернет-магазин), 10000 грн*
Резчик полиграфической продукции, 10000 грн*
Машинист экскаватора JCB 3CX  САТ422 в дорожно-строительную организацию, 10000 грн*
Официант в ресторан, 10000 грн*
Техник по уходу за автомобилями, 10000 грн*
Doctor-coordinator (Medical tourism), 10000 грн*
Account manager, 10000 грн*
Менеджер по логистике, 10000 грн*
Официант, 10000 грн*
Менеджера по продажам  по работе с партнерами (В2В), 10000 грн*
Интернет-маркетолог  digital marketing expert, 10000 грн*
Менеджер по продажам в автосалон электромобилей, 10000 грн*
Электросварщик (аргон), 10000 грн*
Руководитель курьерской службы, 10000 грн*
Водитель на авто компании (Uber), 10000 грн*
SEO-менеджер, 10000 грн*
Монтажник-сантехник, 10000 грн*
Менеджер по продажам, 10000 грн*
Продавец-консультант мобильных телефонов и аксессуаров, 10000 грн*
Менеджер по транспорту, 10000 грн*
Менеджер по работе с клиентами, 10000 грн*
Менеджер по продажам, 10000 грн*
Су-шеф, 10000 грн*
Товаровед (светильники), 10000 грн*
Менеджер по продажам интернет-рекламы, 10000 грн*
Монтажник-прораб  сервис-инженер, 10000 грн*
Менеджер по продажам веб-рекламы, 10000 грн*
Продавец-консультант, 10000 грн*
"Продавец-консультант в магазин Kyivstar (ТРЦ ""Базар"")", 10000 грн*
Менеджер по работе с клиентами (интернет-маркетинг), 10000 грн*
Менеджер по продажам, 10000 грн*
Front Desk Agent  Receptionist, 10000 грн*
Менеджер по продажам, 10000 грн*
Teachers group manager, 10000 грн*
Менеджер по работе с клиентами, 10000 грн*
Сервис-менеджер, 10000 грн*
HR-менеджер, 10000 грн*
Продавец-консультант магазина Lifecell (Оболонь), 10000 грн*
Автослесарь  автомеханик  автомастер на СТО, 10000 грн*
IT recruiter, 10000 грн*
Менеджер ВЭД по закупкам электронных компонентов, 10000 грн*
Инженер-конструктор оборудования из нержавеющей стали, 10000 грн*
Менеджер по оптовым продажам, 10000 грн*
Оператор call-центра, 10000 грн*
Системный администратор, 10000 грн*
Официант в загородный ресторан, 10000 грн*
Повар, 10000 грн*
Инженер-проектант на производство, 10000 грн*
Прораб (дизайнерский ремонт  коттеджи), 10000 грн*
Водитель со своим грузовым авто (термобудка), 10000 грн*
Переводчик в брачное агентство, 10000 грн*
Продавец-консультант (ст. м. Васильковская), 10000 грн*
Менеджер по продажам, 10000 грн*
Менеджер по продажам, 10000 грн*
Продавец-консультант одежды  обуви  аксессуаров (Anatolshop), 10000 грн*
Клиент-менеджер (В2В-продажи), 10000 грн*
Менеджер по продажам наружной рекламы  полиграфии, 10000 грн*
Повар (с. Тюдов), 10000 грн*
Менеджер по роботі з клієнтами у відділ продажу та оренди (ст. м. Палац Україна), 10000 грн*
Продавец-консультант (Ленинградская пл.), 10000 грн*
Academic English Writer, 10000 грн*
Автор академических текстов на английском языке, 10000 грн*
Менеджер по продажам ГБО, 10000 грн*
Менеджер по продажам, 10000 грн*
Комплектовщик, 10000 грн*
Порезчик ДСП в Вишневое, 10000 грн*
Повар-универсал  старший смены, 10000 грн*
Менеджер по продажам, 10000 грн*
Менеджер продаж (HoReCa), 10000 грн*
Закройщик  раскройщик женской одежды, 10000 грн*
Продавец-консультант в салон-магазин дверей (Крюковщина), 10000 грн*
Парикмахер, 10000 грн*
Юрист-хозяйственник, 10000 грн*
Sales manager, 10000 грн*
Инженер-конструктор, 10000 грн*
Продавец-консультант (пр. Бажана), 10000 грн*
Графический дизайнер, 10000 грн*
Директор ресторана, 10000 грн*
Менеджер по продажам канцтоваров, 10000 грн*
Слесарь-сантехник, 10000 грн*
Графический дизайнер (2D  рекламное агентство  полиграфия), 10000 грн*
Менеджер по рекламе, 10000 грн*
Сварщик-сборщик металлоконструкций, 10000 грн*
Коллектор (hard collection), 10000 грн*
Менеджер розничных продаж (мебельные комплектующие  фурнитура), 10000 грн*
Главный бухгалтер, 10000 грн*
Менеджер по логистике, 10000 грн*
Редактор сайта, 10000 грн*
Менеджер по продажам систем отопления, 10000 грн*
Моторист (Выдубичи), 10000 грн*
Менеджер по продажам, 10000 грн*
Водитель такси на автомобиль предприятия, 10000 грн*
Мастер-приемщик, 10000 грн*
Технолог по производству товарного бетона в Бровары, 10000 грн*
Официант, 10000 грн*
Мастер маникюра, 10000 грн*
Официант, 10000 грн*
Менеджер по продаже оборудования ОВ и ВК, 10000 грн*
Торговый представитель  агент, 10000 грн*
Менеджер по работе с клиентами, 10000 грн*
Копирайтер в интернет-магазин, 10000 грн*
Менеджер по продажам образовательных услуг за рубежом, 10000 грн*
Контент-менеджер, 10000 грн*
Менеджер административно-хозяйственного отдела, 10000 грн*
Территориальный менеджер, 10000 грн*
Мастер маникюра  педикюра  дизайна и наращивания ногтей, 10000 грн*
Клиент-менеджер, 10000 грн*
Официант, 10000 грн*
Автослесарь (установка и сервис ГБО), 10000 грн*
Автомойщик, 10000 грн*
Менеджер по продажам, 10000 грн*
Менеджер по продажам, 10000 грн*
Менеджер по продажам, 10000 грн*
Продавец-консультант обуви и аксессуаров, 10000 грн*
Менеджер проектов со свободным английским, 10000 грн*
Менеджер по продажам сантехники, 10000 грн*
Продавець-консультант товарів для риболовлі  мисливства та туризму у Бровари, 10000 грн*
Менеджер по продажам финансовых услуг, 10000 грн*
Контент-менеджер (интернет-магазин), 10000 грн*
Менеджер по продажам (реклама  IT), 10000 грн*
Продавец-консультант обуви и аксессуаров, 10000 грн*
Менеджер активных продаж, 10000 грн*
Автоелектрик-діагност, 10000 грн*
Оператор call-центра (IT  исходящие звонки), 10000 грн*
Технолог, 10000 грн*
Менеджер по продажам металлопластиковых окон, 10000 грн*
Водитель такси на электромобиль, 10000 грн*
Администратор в музыкальный магазин, 10000 грн*
Гипсокартонщик, 10000 грн*
Продавец звукового оборудования, 10000 грн*
Менеджер по продажам (морские перевозки контейнеров), 10000 грн*
Переводчик английского языка в брачное агентство, 10000 грн*
Sales manager, 10000 грн*
Технолог кондитерского цеха в Черкассы, 10000 грн*
Сварщик-сантехник, 10000 грн*
Преподаватель английского языка детям от 1 года, 10000 грн*
Плиточник, 10000 грн*
Повар-универсал  помощник повара (ночная смена), 10000 грн*
Портной, 10000 грн*
Менеджер по работе с клиентами, 10000 грн*
Менеджер по работе с клиентами  продавец мобильных аксессуаров, 10000 грн*
Менеджер по координации проектов ассоциации, 10000 грн*
Мастер маникюра, 10000 грн*
Контент-менеджер, 10000 грн*
Продавец-консультант в магазин насосов и сантехнического оборудования, 10000 грн*
Торговый представитель (левый берег), 10000 грн*
Торговый представитель, 10000 грн*
Инженер ПТО, 10000 грн*
SEO-специалист, 10000 грн*
Менеджер по персоналу  психолог, 10000 грн*
Ведущий менеджер по продажам (косметология  эстетическая медицина), 10000 грн*
Шлифовщик по дереву, 10000 грн*
Дизайнер, 10000 грн*
Инженер компьютерных систем, 10000 грн*
Модель  фотомодель, 10000 грн*
Junior Sales Manager, 10000 грн*
Инженер внедрения систем безопасности, 10000 грн*
Прораб общестроительных работ (служба заказчика), 10000 грн*
Менеджер по продажам, 10000 грн*
Менеджер по продажам (товары для спорта), 10000 грн*
Мастер печатного цеха, 10000 грн*
Менеджер по продаже (ВЭД  зерновые  масличные  продукты переработки), 10000 грн*
Менеджер по продажам моющих средств для пищевой промышленности, 10000 грн*
Мастер  работник СТО  автоэлектрик, 10000 грн*
"Продавец-консультант в агромагазин ""Сад и огород"" в Вишневое", 10000 грн*
Менеджер по продажам бытовой и сувенирной продукции, 10000 грн*
Переводчик английского языка в брачное агентство, 10000 грн*
Торговый представитель с автомобилем, 10000 грн*
Торговый представитель с авто, 10000 грн*
Продавец-консультант мобильных телефонов и аксессуаров, 10000 грн*
Мастер строительного участка (дорожное строительство), 10000 грн*
Менеджер по продажам (TIR-автозапчасти), 10000 грн*
Менеджер по продажам малого и среднего бизнеса, 10000 грн*
Торговый представитель, 10000 грн*
Інженер-проектувальник систем ОВіК, 10000 грн*
Sales manager, 10000 грн*
Менеджер по удержанию (колл-центр), 10000 грн*
Менеджер по работе с клиентами (национальные сети), 10000 грн*
Мастер участка (ОВ  ВК  теплоснабжение), 10000 грн*
Менеджер по продажам (с обучением), 10000 грн*
Водитель грузового автомобиля, 10000 грн*
Бухгалтер (единственный), 10000 грн*
"Продавец-консультант  представитель производителя  промоутер (""Леруа Мерлен"")", 10000 грн*
Мастер маникюра и педикюра, 10000 грн*
Менеджер по продажам (интернет-маркетинг), 10000 грн*
"Продавец-консультант техники ""Apple""", 10000 грн*
Монтажник систем вентиляции, 10000 грн*
Монтажник кондиционеров, 10000 грн*
Монтажник систем вентиляции и кондиционирования, 10000 грн*
Менеджер по продажам авто в рассрочку, 10000 грн*
Менеджер по продажам напольных покрытий, 10000 грн*
Менеджер по работе с клиентами, 10000 грн*
Продавец-консультант, 10000 грн*
Менеджер по работе с клиентами, 10000 грн*
Менеджер по продажам в педиатрическую клинику, 10000 грн*
Водитель такси на автомобиль фирмы, 10000 грн*
Торговый представитель с автомобилем, 10000 грн*
Бармен в ресторан (Конча-Заспа), 10000 грн*
Продавец-консультант, 10000 грн*
Официант в паб, 10000 грн*
Риелтор  агент по недвижимости (ст. м. Майдан Незалежности), 10000 грн*
Менеджер по развитию дилерской сети (строительные материалы), 10000 грн*
Менеджер по закупкам  снабжению, 10000 грн*
Электрик-монтажник, 10000 грн*
Менеджер по продажам технической продукции (КИП), 10000 грн*
Менеджер по продажам (запорная трубопровод. арматура  электромагнитные клапаны), 10000 грн*
Печатник, 10000 грн*
"Официант в ресторан ""Лакки Лучано"" (ст. м. Теремки)", 10000 грн*
"Консультант нишевой парфюмерии и косметики класса ""Люкс""", 10000 грн*
Менеджер по продажам (инструмент), 10000 грн*
Продавец-консультант обуви и аксессуаров, 10000 грн*
Менеджер по работе с ключевыми клиентами, 10000 грн*
Менеджер по продаже услуг в ТЦ, 10000 грн*
Мастер маникюра  педикюра, 10000 грн*
Менеджер по снабжению, 10000 грн*
Менеджер по продажам  торговый представитель, 10000 грн*
Менеджер по продаже систем водоснабжения  кондиционирования  отопления, 10000 грн*
"Официант в ресторан ""Лакки Лучано"" (ст. м. Позняки)", 10000 грн*
Менеджер экспортных продаж (ВЭД), 10000 грн*
Администратор переводчиков  помощник руководителя со знанием английского языка, 10000 грн*
Переводчик английского языка в брачное агентство, 10000 грн*
Менеджер отдела продаж аграрной компании, 10000 грн*
Менеджер по работе с тендерами, 10000 грн*
Инженер  электромонтер КВПиА, 10000 грн*
Маркетолог, 10000 грн*
Старший продавец-консультант, 10000 грн*
Продавець-консультант в салон мобільної техніки (Хрещатик), 10000 грн*
Менеджер по работе с клиентами  специалист отдела продаж, 10000 грн*
Менеджер по продаже логистических услуг, 10000 грн*
Мастер маникюра  педикюра, 10000 грн*
"Продавец-консультант (ТЦ ""Мануфактура"")", 10000 грн*
"Продавец-консультант в магазин итальянской женской одежды (ТЦ ""ЦУМ"")", 10000 грн*
Менеджер туристического проекта, 10000 грн*
Старший кладовщик  руководитель склада ответ. хранения, 10000 грн*
Account manager, 10000 грн*
Маляр по дереву і МДФ у Бровари, 10000 грн*
Менеджер по продажам, 10000 грн*
Графический дизайнер в брендинговое агентство, 10000 грн*
Официант, 10000 грн*
Контент-менеджер (интернет-магазин), 10000 грн*
Менеджер по продажам, 10000 грн*
Менеджер по продажам ЛКМ  торговый представитель, 10000 грн*
Продавец-консультант салона мобильной связи, 10000 грн*
"Официант в ресторан ""Казан Диван""", 10000 грн*
Менеджер по продажам  оператор Call-center, 10000 грн*
Менеджер по продаже логистических услуг, 10000 грн*
Мастер-парикмахер, 10000 грн*
Риэлтор  агент по продаже недвижимости (ст. м. Почтовая площадь), 10000 грн*
Менеджер-технолог, 10000 грн*
Парикмахер, 10000 грн*
Агроном-консультант  менеджер по работе с клиентами, 10000 грн*
Эксперт по недвижимости, 10000 грн*
Специалист по недвижимости, 10000 грн*
Дизайнер-художник, 10000 грн*
Менеджер по работе с клиентами, 10000 грн*
Менеджер по маркетингу, 10000 грн*
Менеджер по продажам, 10000 грн*
Менеджер по продажам систем отопления, 10000 грн*
Продавец-консультант, 10000 грн*
Менеджер по продаже услуг, 10000 грн*
